property_type,place,area,furnishing_details,society,bedrooms,bathroom,balcony,price_per_sqft,price,latitude,longitude
flat,thaltej,989.0,unfurnished,,2,2.0,1.0,4750.0,0.47,23.0485393,72.511742
flat,maninagar,150.0,unfurnished,abhishek apartment,1,1.0,1.0,5333.0,0.08,22.9986596,72.6114013
flat,new maninagar,1008.0,semi-furnished,soham sanidhya,2,2.0,1.0,3472.0,0.35,22.9840389555361,72.64465017150224
flat,naroda,1260.0,furnished,,2,2.0,1.0,3333.0,0.42,23.0732586,72.6508299
flat,bopal,1200.0,unfurnished,vibrant silver ii,2,2.0,2.0,4583.0,0.55,23.02353855,72.47052697610516
flat,hathijan,1143.0,furnished,,2,2.0,1.0,3325.0,0.38,22.9411139,72.6674473
flat,narolgam,990.0,unfurnished,pratham heights,2,2.0,1.0,2727.0,0.27,22.961952739461708,72.58467437700327
flat,maninagar,945.0,unfurnished,,3,3.0,1.0,4762.0,0.45,22.9986596,72.6114013
flat,vaishnodevi circle,980.0,semi-furnished,the meadows,2,2.0,2.0,0.0,0.82,23.136343132120857,72.54237623802707
flat,sola,1998.0,unfurnished,lycka life,3,3.0,1.0,6006.0,1.2,23.069237,72.5111307
flat,jagatpur,1260.0,semi-furnished,atharva landmark,2,2.0,1.0,4921.0,0.62,23.09916113959176,72.5517012504195
flat,shahibag,1890.0,semi-furnished,,3,3.0,1.0,4762.0,0.9,23.05750541321643,72.59468425050397
flat,jamalpur,320.0,semi-furnished,,1,1.0,1.0,4375.0,0.14,23.0139241,72.5820624
flat,vastral,1062.0,unfurnished,,2,2.0,1.0,2354.0,0.25,22.9948656,72.6624431
flat,nava naroda,1000.0,unfurnished,nilkant apartment,2,2.0,1.0,3000.0,0.3,23.0687402,72.6734956
flat,ambli,1206.0,unfurnished,ashray aurum,3,3.0,1.0,8292.0,1.0,23.02871785,72.48164295008098
flat,new ranip,1005.0,semi-furnished,,2,2.0,2.0,4677.0,0.47,23.092529,72.561323
flat,sindhu bhavan marg,1206.0,unfurnished,,3,3.0,1.0,8292.0,1.0,23.04136287523569,72.49591398035237
flat,drive in road,1620.0,furnished,,3,3.0,1.0,4321.0,0.7,23.043209353033056,72.54824227938613
flat,saraspur,700.0,unfurnished,,2,2.0,1.0,0.0,0.25,23.03184890638064,72.61007727720957
flat,naranpura,2000.0,semi-furnished,swaminarayan avenue,3,3.0,1.0,5000.0,1.0,23.0567133,72.5508575
flat,chandlodiya,675.0,unfurnished,green city,1,1.0,1.0,3111.0,0.21,23.0751633,72.5440359
flat,satellite,881.0,semi-furnished,mangle tower,2,2.0,1.0,3180.0,0.28,23.027602360651706,72.52116979489662
flat,vatva,858.0,unfurnished,,1,2.0,1.0,2331.0,0.2,22.9589978,72.6297981
flat,vastral,1200.0,furnished,vrundavan vatika,2,2.0,1.0,0.0,0.3,22.9948656,72.6624431
flat,paldi,1422.0,furnished,,3,2.0,1.0,7032.0,1.0,23.0145531,72.5635432
flat,sughad,1500.0,furnished,,3,2.0,1.0,5333.0,0.8,23.12088209671165,72.63156171985149
flat,ghodasar,729.0,semi-furnished,,1,1.0,1.0,2743.0,0.2,22.99124285,72.61642315668566
flat,kalol,459.0,unfurnished,,1,1.0,1.0,5447.0,0.25,23.237695044474957,72.49579973920652
flat,naranpura,1125.0,semi-furnished,,3,2.0,1.0,6667.0,0.75,23.0567133,72.5508575
flat,lambha,830.0,semi-furnished,,2,1.0,1.0,2530.0,0.21,22.9317728,72.5749418
